# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	7179
#@/user_id	ff85f8fa-9b37-4781-86d8-a82aef9341bf
a 	啊	c=21 d=1.40163 t=7179
bian 	變	c=1 d=0.000231716 t=7179
bian 	邊	c=1 d=1 t=3741
bian cheng 	編程	c=1 d=2.09736e-08 t=7179
bian cheng 	變成	c=1 d=0.631284 t=7179
bian de 	變得	c=3 d=0.621885 t=7179
bian hao 	編號	c=4 d=0.0221262 t=7179
bian hua 	變化	c=1 d=1.18898e-07 t=7179
bian ji 	編輯	c=6 d=2.0969 t=3080
bian ji qi 	編輯器	c=5 d=0.063115 t=7179
bian jiao 	變焦	c=1 d=3.26613e-13 t=7179
bian jie 	邊界	c=1 d=1 t=3120
bian kuang 	邊框	c=1 d=1 t=3116
bian li 	便利	c=1 d=2.45618e-13 t=7179
bian liang 	變量	c=1 d=4.39519e-06 t=7179
bian ma 	編碼	c=2 d=5.0831e-10 t=7179
bian se 	變色	c=1 d=0.208045 t=7179
bian shi 	辨識	c=1 d=1.99026e-09 t=7179
bian xie 	編寫	c=2 d=4.28644e-12 t=7179
bian xing 	變形	c=1 d=0.302704 t=7179
bian yi 	便宜	c=1 d=3.44306e-16 t=7179
bian yi 	編譯	c=26 d=0.605312 t=7179
biao 	表	c=1 d=0.00369786 t=7179
biao dian 	標點	c=4 d=8.33972e-08 t=7179
biao ge 	表格	c=5 d=1.45016e-05 t=7179
biao hao 	標號	c=6 d=0.0105424 t=7179
biao ji 	標記	c=2 d=2.25573e-05 t=7179
biao ma 	彪馬	c=1 d=0.169483 t=7179
biao mian 	表面	c=2 d=1.99005 t=4160
biao pei 	標配	c=2 d=1.96561 t=3763
biao qian 	標籤	c=1 d=1 t=1469
biao shi 	表示	c=3 d=1.1942 t=7179
biao shu 	表述	c=2 d=1.60512 t=7179
biao ti 	標題	c=22 d=0.585503 t=7179
biao zhun 	標準	c=1 d=0.813413 t=7179
biao zhun bian yi 	標準編譯	c=1 d=0.203926 t=7179
bie 	別	c=3 d=0.0296012 t=7179
bie niu 	彆扭	c=1 d=0.203926 t=7179
bie ren 	別人	c=5 d=1.15276 t=7179
bie shuo 	別說	c=1 d=0.000234044 t=7179
bin 	彬	c=1 d=1 t=1748
bin guan 	賓館	c=1 d=3.61898e-14 t=7179
bing 	並	c=0 d=0.0404542 t=7179
bing bu 	並不	c=2 d=7.9675e-05 t=7179
bing bu cun zai 	並不存在	c=1 d=2.46128e-08 t=7179
bing bu da 	並不大	c=1 d=0.40657 t=7179
bing bu fu za 	並不複雜	c=1 d=0.000800719 t=7179
bing bu neng 	並不能	c=1 d=1 t=613
bing bu shi 	並不是	c=4 d=0.299471 t=7179
bing bu zou xiao 	並不奏效	c=1 d=1 t=1848
bing gan 	餅乾	c=2 d=1.67368 t=3818
bing lie 	並列	c=1 d=2.12501e-15 t=7179
bing mei you 	並沒有	c=2 d=5.49479e-07 t=7179
bing wei 	並未	c=2 d=0.0668703 t=7179
bing wu 	並無	c=0 d=0.000474815 t=7179
bing wu ding yi 	並無定義	c=1 d=0.00477195 t=7179
bo fang 	播放	c=2 d=0.29717 t=7179
bo hao 	撥號	c=3 d=1.09005 t=3001
bo he 	薄荷	c=1 d=1 t=2575
bo hui 	駁回	c=1 d=1 t=779
bo li 	玻璃	c=1 d=1 t=4337
bu 	不	c=6 d=0.132135 t=7179
bu 	布	c=0 d=0.1 t=3850
bu 	步	c=0 d=3.47648e-13 t=7179
bu 	補	c=2 d=1.02399 t=3908
bu bei 	不被	c=1 d=1 t=1454
bu bi 	不比	c=1 d=7.05168e-09 t=7179
bu bian 	不便	c=1 d=1 t=4655
bu bu gao 	步步高	c=1 d=0.0424257 t=7179
bu ce 	不測	c=0 d=1.50007e-07 t=7179
bu ce shi 	不測是	c=1 d=1.50759e-06 t=7179
bu ceng 	不曾	c=1 d=5.63088e-09 t=7179
bu chang 	步長	c=1 d=1 t=4560
bu chong 	補充	c=2 d=1.01111 t=4637
bu chou 	不醜	c=0 d=3.3138e-08 t=7179
bu chu lai 	不出來	c=1 d=0.0306538 t=7179
bu cun zai 	不存在	c=2 d=0.0599047 t=7179
bu cuo 	不錯	c=3 d=0.932394 t=7179
bu da 	不大	c=0 d=0.0404542 t=7179
bu dai biao 	不代表	c=1 d=1 t=2993
bu dan 	不但	c=1 d=3.04532e-13 t=7179
bu dao 	不到	c=1 d=1 t=992
bu deng da 	不等大	c=1 d=3.94755e-07 t=7179
bu diao yong 	不調用	c=1 d=1.17148e-09 t=7179
bu ding 	補丁	c=2 d=1.9802 t=2891
bu ding qi 	不定期	c=1 d=0.50409 t=7179
bu dong 	不懂	c=1 d=9.83405e-11 t=7179
bu dong ni zai 	不懂你在	c=1 d=1 t=560
bu dui 	不對	c=4 d=0.214381 t=7179
bu duo 	不多	c=1 d=0.0152222 t=7179
bu fen 	部分	c=4 d=0.000319325 t=7179
bu gao su 	不告訴	c=1 d=1 t=544
bu guan 	不管	c=1 d=1 t=2287
bu gui 	不貴	c=2 d=2.32703e-10 t=7179
bu guo 	不過	c=8 d=0.836673 t=7179
bu guo qu 	不過去	c=1 d=8.09318e-12 t=7179
bu hao 	不好	c=2 d=0.0204948 t=7179
bu hao chai 	不好拆	c=2 d=0.148823 t=7179
bu hao kan 	不好看	c=1 d=4.70251e-07 t=7179
bu hao pai chu 	不好排除	c=1 d=1.01563e-06 t=7179
bu hao yi si 	不好意思	c=1 d=0.00143012 t=7179
bu hao yong 	不好用	c=2 d=0.00220485 t=7179
bu hao zhuang 	不好裝	c=1 d=0.205975 t=7179
bu he 	不合	c=1 d=2.01478e-06 t=7179
bu he ge 	不合格	c=3 d=2.95325e-09 t=7179
bu he ni 	不和你	c=1 d=0.00118265 t=7179
bu he shi 	不合適	c=1 d=3.81437e-15 t=7179
bu hui 	不會	c=8 d=0.782947 t=7179
bu hui zhuang 	不會裝	c=1 d=0.67368 t=7179
bu jia cu 	不加粗	c=1 d=8.27381e-07 t=7179
bu jin dian ji 	步進電機	c=2 d=7.27883e-12 t=7179
bu jin jin 	不僅僅	c=1 d=1 t=758
bu jiu 	不久	c=1 d=0.0149956 t=7179
bu ju zhong 	不居中	c=2 d=4.92339e-07 t=7179
bu kai 	不開	c=0 d=2.15713e-16 t=7179
bu kan 	不堪	c=2 d=1.42723e-11 t=7179
bu kan 	不看	c=1 d=0.690734 t=7179
bu ke 	不可	c=1 d=0.113608 t=7179
bu ke neng 	不可能	c=1 d=0.0207543 t=7179
bu ke yi 	不可以	c=1 d=0.00546167 t=7179
bu ke yong 	不可用	c=1 d=1 t=4354
bu kuai 	不快	c=1 d=3.86071e-10 t=7179
bu kuai bu man 	不快不慢	c=1 d=4.64528e-10 t=7179
bu lai 	不來	c=1 d=1 t=152
bu liao 	不了	c=2 d=1.56911e-07 t=7179
bu liao jie 	不瞭解	c=1 d=0.079659 t=7179
bu neng 	不能	c=14 d=1.42219 t=7179
bu neng yong 	不能用	c=1 d=1 t=1497
bu quan 	不全	c=1 d=0.000485661 t=7179
bu quan 	補全	c=1 d=0.93527 t=1753
bu ri 	不日	c=1 d=1 t=3280
bu rong yi 	不容易	c=1 d=1 t=1599
bu ru 	不如	c=2 d=0.431854 t=7179
bu shang 	不上	c=0 d=0.1 t=371
bu shang ban 	不上班	c=1 d=1.83312e-12 t=7179
bu shang ping 	不上屏	c=2 d=1.25284 t=647
bu shao 	不少	c=1 d=4.33123e-10 t=7179
bu she 	不捨	c=1 d=6.93112e-12 t=7179
bu shi 	不是	c=15 d=0.638562 t=7179
bu shi shuo 	不是說	c=1 d=3.92106e-16 t=7179
bu shi yong 	不使用	c=3 d=1.76509e-06 t=7179
bu shu lian 	不熟練	c=1 d=1.40204e-05 t=7179
bu shuo 	不說	c=2 d=0.000216387 t=7179
